22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
22:17:01.140	1, 1
22:17:01.140	0, 1
22:17:01.140	0, 0
22:17:01.140	1, 0
22:17:01.140	1, 1
